spindle_temp,vibration_rms,coolant_flow,spindle_overheat
low,low,moderate,0
low,high,moderate,0
low,low,moderate,0
low,low,low,0
low,low,low,0
low,low,low,0
low,low,low,0
low,low,moderate,0
low,low,moderate,0
low,low,low,0
low,low,low,0
low,low,low,0
low,moderate,moderate,0
low,moderate,moderate,0
low,moderate,moderate,0
low,low,moderate,0
low,low,low,0
low,low,low,0
moderate,moderate,moderate,0
low,low,low,0
low,low,low,0
low,low,high,0
low,moderate,moderate,0
low,low,low,0
low,low,low,0
low,moderate,low,0
low,moderate,low,0
low,low,low,0
low,low,moderate,0
moderate,moderate,moderate,0
moderate,low,low,0
low,low,low,0
low,low,moderate,0
moderate,moderate,moderate,0
low,low,low,0
moderate,moderate,moderate,0
high,high,moderate,1
low,low,low,0
low,low,low,0
low,low,moderate,0
moderate,low,high,0
low,moderate,low,0
low,low,low,0
moderate,moderate,low,0
high,high,low,1
moderate,low,low,0
moderate,low,moderate,0
low,low,high,0
low,low,moderate,0
low,low,low,0
low,moderate,low,0
high,high,low,1
moderate,low,low,0
moderate,moderate,moderate,0
low,low,moderate,0
low,low,low,0
low,low,low,0
moderate,low,low,0
low,low,moderate,0
moderate,moderate,low,0
low,low,moderate,0
low,low,low,0
high,high,low,1
high,high,moderate,1
moderate,low,moderate,0
moderate,moderate,low,0
low,low,moderate,0
moderate,low,low,0
low,moderate,moderate,0
high,high,high,1
low,low,moderate,0
moderate,low,low,0
moderate,low,high,0
low,low,low,0
moderate,moderate,moderate,0
moderate,moderate,low,0
low,low,low,0
moderate,low,low,0
moderate,moderate,low,0
moderate,moderate,low,0
moderate,low,low,0
moderate,low,low,0
moderate,moderate,moderate,0
high,high,high,1
low,low,moderate,0
moderate,low,low,0
moderate,low,moderate,0
high,high,moderate,1
high,high,low,1
high,high,moderate,1
moderate,low,low,0
moderate,low,moderate,0
low,moderate,high,0
low,low,moderate,0
moderate,moderate,low,0
low,low,moderate,0
moderate,moderate,moderate,0
moderate,moderate,moderate,0
high,high,moderate,1
moderate,moderate,low,0
low,low,low,0
high,high,moderate,1
moderate,low,low,0
moderate,moderate,low,0
moderate,moderate,low,0
low,low,moderate,0
moderate,low,high,0
low,low,low,0
moderate,moderate,low,0
moderate,low,low,0
moderate,moderate,moderate,0
moderate,moderate,moderate,0
moderate,low,moderate,0
moderate,moderate,high,0
low,low,low,0
moderate,moderate,moderate,0
moderate,low,low,0
moderate,moderate,moderate,0
moderate,low,moderate,0
moderate,low,moderate,0
moderate,moderate,moderate,0
moderate,moderate,low,0
high,moderate,low,0
high,high,low,1
high,moderate,moderate,0
moderate,moderate,moderate,0
high,high,moderate,1
high,high,low,1
high,moderate,low,0
moderate,moderate,low,0
high,moderate,low,0
moderate,moderate,low,0
high,high,low,1
high,high,low,1
moderate,moderate,low,0
moderate,low,low,0
moderate,moderate,high,0
moderate,low,low,0
moderate,moderate,low,0
moderate,moderate,high,0
moderate,moderate,high,0
moderate,moderate,low,0
moderate,moderate,low,0
moderate,low,moderate,0
moderate,moderate,low,0
moderate,moderate,moderate,0
high,high,low,1
moderate,low,moderate,0
moderate,low,moderate,0
moderate,moderate,low,0
high,high,low,1
moderate,low,moderate,0
moderate,moderate,low,0
moderate,moderate,moderate,0
moderate,moderate,moderate,0
high,high,low,1
high,high,moderate,1
low,low,moderate,0
high,high,low,1
moderate,moderate,moderate,0
moderate,low,moderate,0
moderate,moderate,moderate,0
moderate,moderate,moderate,0
high,high,moderate,1
moderate,high,moderate,0
moderate,moderate,low,0
high,high,low,1
moderate,moderate,low,0
moderate,moderate,moderate,0
high,high,moderate,1
moderate,moderate,low,0
low,low,moderate,0
high,high,low,1
high,high,low,1
low,low,low,0
moderate,low,low,0
low,low,moderate,0
moderate,moderate,moderate,0
moderate,low,moderate,0
moderate,moderate,low,0
moderate,moderate,low,0
moderate,moderate,high,0
low,low,moderate,0
moderate,moderate,low,0
moderate,moderate,moderate,0
moderate,high,low,0
moderate,moderate,moderate,0
moderate,low,low,0
moderate,moderate,low,0
moderate,moderate,low,0
low,moderate,moderate,0
high,high,low,1
high,high,low,1
moderate,moderate,moderate,0
low,low,moderate,0
moderate,moderate,low,0
low,low,moderate,0
high,high,moderate,1
moderate,moderate,low,0
moderate,moderate,low,0
moderate,moderate,moderate,0
high,high,moderate,1
moderate,moderate,low,0
moderate,moderate,low,0
low,low,low,0
low,moderate,moderate,0
moderate,moderate,low,0
moderate,moderate,low,0
low,moderate,high,0
moderate,moderate,high,0
high,high,moderate,1
moderate,low,moderate,0
moderate,high,low,0
moderate,moderate,low,0
low,moderate,low,0
moderate,moderate,low,0
high,high,low,1
high,high,moderate,1
low,low,low,0
moderate,moderate,low,0
low,low,moderate,0
moderate,moderate,low,0
moderate,moderate,low,0
low,moderate,moderate,0
low,low,moderate,0
low,low,low,0
moderate,moderate,moderate,0
moderate,moderate,low,0
low,moderate,moderate,0
low,low,low,0
moderate,moderate,low,0
moderate,high,low,0
high,high,moderate,1
moderate,high,low,0
high,high,moderate,1
high,high,moderate,1
moderate,high,moderate,0
high,high,low,1
low,low,low,0
moderate,moderate,low,0
moderate,moderate,moderate,0
low,low,low,0
moderate,high,high,0
moderate,high,moderate,0
moderate,moderate,low,0
moderate,moderate,low,0
low,low,low,0
moderate,high,low,1
low,low,moderate,0
low,moderate,high,0
low,moderate,low,0
high,high,moderate,1
low,low,moderate,0
moderate,moderate,moderate,0
moderate,high,moderate,0
moderate,high,high,0
moderate,high,moderate,0
moderate,moderate,low,0
moderate,high,moderate,0
moderate,moderate,low,0
moderate,moderate,moderate,0
moderate,high,low,0
low,moderate,low,0
moderate,high,moderate,1
moderate,high,low,0
moderate,moderate,low,0
moderate,high,low,0
low,moderate,low,0
low,low,low,0
low,moderate,low,0
moderate,high,low,0
moderate,high,moderate,0
low,low,moderate,0
moderate,moderate,low,0
low,high,moderate,0
low,low,low,0
low,low,moderate,0
low,moderate,moderate,0
moderate,moderate,moderate,0
moderate,high,low,0
high,high,low,1
low,low,low,0
low,moderate,low,0
low,low,low,0
moderate,high,low,0
low,low,moderate,0
low,moderate,moderate,0
low,low,low,0
moderate,high,moderate,1
low,low,low,0
low,low,moderate,0
low,moderate,moderate,0
low,low,moderate,0
low,moderate,moderate,0
high,high,moderate,1
low,low,low,0
low,low,moderate,0
low,low,low,0
moderate,moderate,low,0
moderate,low,moderate,0
moderate,moderate,low,0
low,low,low,0
low,moderate,moderate,0
low,moderate,moderate,0
low,low,low,0
low,low,low,0
low,moderate,moderate,0
low,low,moderate,0
moderate,moderate,moderate,0
low,low,moderate,0
low,moderate,high,0
moderate,moderate,low,0
low,low,moderate,0
low,low,moderate,0
high,high,low,1
low,low,low,0
low,low,moderate,0
low,low,moderate,0
low,low,moderate,0
moderate,moderate,low,0
moderate,moderate,low,0
low,low,low,0
low,moderate,moderate,0
low,moderate,moderate,0
low,low,moderate,0
low,low,moderate,0
low,low,low,0
moderate,low,moderate,0
moderate,low,low,0
low,low,low,0
moderate,moderate,low,0
moderate,moderate,moderate,0
high,high,low,1
moderate,low,moderate,0
moderate,moderate,moderate,0
low,low,low,0
low,low,moderate,0
high,high,moderate,1
moderate,moderate,moderate,0
moderate,low,high,0
low,low,moderate,0
high,high,moderate,1
moderate,low,moderate,0
moderate,low,low,0
low,low,moderate,0
moderate,low,low,0
moderate,low,low,0
high,moderate,low,0
moderate,moderate,moderate,0
low,low,low,0
low,low,low,0
low,low,moderate,0
moderate,low,moderate,0
moderate,moderate,low,0
low,moderate,low,0
moderate,moderate,low,0
moderate,low,moderate,0
moderate,moderate,moderate,0
low,low,moderate,0
moderate,moderate,low,0
moderate,low,moderate,0
moderate,low,low,0
moderate,low,moderate,0
moderate,moderate,moderate,0
moderate,low,low,0
moderate,moderate,moderate,0
moderate,low,low,0
moderate,low,moderate,0
moderate,moderate,moderate,0
moderate,low,low,0
moderate,low,low,0
high,high,moderate,1
moderate,low,moderate,0
moderate,moderate,moderate,0
moderate,moderate,low,0
moderate,high,low,0
low,low,moderate,0
moderate,moderate,high,0
moderate,moderate,moderate,0
moderate,moderate,moderate,0
high,high,moderate,1
moderate,moderate,low,0
moderate,moderate,low,0
moderate,moderate,moderate,0
moderate,low,moderate,0
moderate,moderate,moderate,0
moderate,moderate,low,0
moderate,moderate,low,0
moderate,moderate,low,0
moderate,moderate,low,0
moderate,low,low,0
moderate,low,low,0
moderate,low,low,0
moderate,low,moderate,0
moderate,low,moderate,0
moderate,moderate,low,0
moderate,low,moderate,0
moderate,moderate,low,0
moderate,moderate,moderate,0
moderate,high,low,0
moderate,low,low,0
moderate,moderate,moderate,0
moderate,moderate,low,0
moderate,low,moderate,0
moderate,moderate,moderate,0
moderate,low,low,0
high,high,moderate,1
high,high,moderate,1
high,high,moderate,1
moderate,low,low,0
high,moderate,moderate,0
high,moderate,moderate,1
high,high,high,1
high,moderate,moderate,1
high,high,low,1
moderate,low,low,0
high,high,high,1
moderate,moderate,high,0
high,high,moderate,1
moderate,moderate,moderate,0
moderate,moderate,low,0
high,high,moderate,1
high,high,high,1
high,high,low,1
high,high,moderate,1
moderate,moderate,low,0
moderate,high,moderate,0
moderate,moderate,low,0
high,moderate,low,0
high,high,moderate,1
moderate,moderate,low,0
moderate,low,moderate,0
moderate,low,high,0
moderate,moderate,moderate,0
moderate,moderate,low,0
high,high,moderate,1
high,high,moderate,1
high,high,moderate,1
moderate,moderate,low,0
moderate,low,moderate,0
high,high,moderate,1
high,high,low,1
moderate,low,moderate,0
moderate,moderate,low,0
moderate,moderate,moderate,0
moderate,low,moderate,0
high,high,low,1
moderate,moderate,low,0
high,high,low,1
moderate,moderate,moderate,0
high,high,moderate,1
moderate,moderate,low,0
moderate,moderate,moderate,0
low,low,moderate,0
high,high,low,1
moderate,low,low,0
moderate,high,low,1
high,high,high,1
high,high,moderate,1
moderate,moderate,moderate,0
moderate,low,low,0
high,high,moderate,1
moderate,moderate,low,0
moderate,moderate,moderate,0
moderate,low,high,0
moderate,high,low,1
high,high,moderate,1
moderate,low,moderate,0
moderate,low,low,0
moderate,moderate,moderate,0
high,high,low,1
low,moderate,moderate,0
moderate,high,low,0
moderate,moderate,moderate,0
moderate,low,low,0
moderate,moderate,moderate,0
moderate,moderate,moderate,0
moderate,moderate,moderate,0
high,high,high,1
moderate,low,moderate,0
moderate,low,low,0
moderate,low,moderate,0
low,low,moderate,0
high,high,low,1
high,high,low,1
low,moderate,moderate,0
moderate,high,moderate,1
moderate,moderate,low,0
moderate,high,moderate,1
moderate,moderate,moderate,0
low,moderate,moderate,0
high,high,moderate,1
low,moderate,low,0
moderate,moderate,low,0
moderate,moderate,low,0
low,low,moderate,0
low,low,moderate,0
high,high,moderate,1
moderate,high,low,1
moderate,high,low,1
low,low,moderate,0
moderate,high,low,0
moderate,high,moderate,1
moderate,moderate,moderate,0
moderate,high,moderate,1
moderate,moderate,moderate,0
low,moderate,moderate,0
moderate,moderate,low,0
moderate,moderate,moderate,0
moderate,high,high,0
moderate,moderate,moderate,0
moderate,high,low,1
moderate,low,low,0
low,low,moderate,0
low,moderate,low,0
high,high,low,1
low,low,moderate,0
moderate,moderate,moderate,0
low,low,high,0
moderate,moderate,low,0
moderate,moderate,low,0
moderate,high,moderate,0
moderate,moderate,low,0
low,moderate,moderate,0
moderate,moderate,moderate,0
moderate,moderate,low,0
low,moderate,low,0
low,low,low,0
moderate,high,low,1
high,high,moderate,1
low,low,low,0
moderate,moderate,low,0
moderate,high,low,0
moderate,high,low,0
moderate,moderate,moderate,0
moderate,high,moderate,0
moderate,moderate,low,0
low,low,low,0
moderate,moderate,moderate,0
high,high,moderate,1
moderate,moderate,low,0
moderate,moderate,low,0
low,low,low,0
moderate,high,moderate,0
moderate,low,low,0
moderate,high,low,1
low,low,moderate,0
low,moderate,low,0
moderate,high,moderate,1
high,high,low,1
low,low,low,0
high,high,low,1
moderate,moderate,high,0
high,high,low,1
moderate,moderate,low,0
moderate,high,high,1
moderate,high,low,0
high,high,moderate,1
moderate,moderate,moderate,0
low,low,low,0
moderate,moderate,moderate,0
high,high,low,1
low,low,moderate,0
low,moderate,low,0
low,low,low,0
low,low,low,0
low,moderate,moderate,0
low,moderate,moderate,0
low,moderate,low,0
low,moderate,moderate,0
moderate,high,low,0
moderate,moderate,high,0
moderate,moderate,low,0
low,low,moderate,0
low,moderate,low,0
low,moderate,moderate,0
moderate,moderate,moderate,0
moderate,moderate,moderate,0
low,low,moderate,0
low,low,moderate,0
low,low,moderate,0
low,low,moderate,0
low,low,moderate,0
moderate,moderate,low,0
moderate,high,low,0
moderate,moderate,low,0
low,moderate,moderate,0
moderate,moderate,low,0
low,low,moderate,0
low,low,high,0
low,moderate,high,0
low,low,low,0
low,low,moderate,0
moderate,low,moderate,0
low,low,low,0
low,low,low,0
low,low,low,0
low,low,low,0
low,low,moderate,0
moderate,low,moderate,0
moderate,high,high,1
low,low,high,0
low,low,low,0
low,low,low,0
low,moderate,moderate,0
moderate,low,moderate,0
high,high,low,1
moderate,moderate,moderate,0
moderate,moderate,moderate,0
moderate,moderate,low,0
high,high,low,1
moderate,moderate,moderate,0
low,low,low,0
moderate,high,low,1
low,low,low,0
moderate,moderate,low,0
low,low,high,0
low,low,moderate,0
low,low,moderate,0
moderate,moderate,low,0
moderate,moderate,low,0
moderate,low,high,0
low,low,low,0
low,low,moderate,0
low,low,moderate,0
moderate,moderate,moderate,0
moderate,moderate,moderate,0
low,low,moderate,0
high,moderate,moderate,1
low,low,low,0
low,low,moderate,0
high,high,moderate,1
low,low,low,0
moderate,low,moderate,0
moderate,moderate,high,0
moderate,moderate,moderate,0
moderate,moderate,moderate,0
moderate,moderate,low,0
moderate,low,low,0
high,high,low,1
moderate,low,moderate,0
high,high,moderate,1
high,moderate,low,1
low,low,low,0
moderate,low,low,0
moderate,moderate,low,0
high,high,moderate,1
moderate,moderate,low,0
moderate,low,moderate,0
low,low,low,0
moderate,low,low,0
moderate,moderate,low,0
moderate,low,moderate,0
moderate,low,low,0
moderate,low,moderate,0
moderate,low,moderate,0
moderate,low,low,0
high,moderate,low,0
moderate,moderate,low,0
moderate,moderate,low,0
moderate,low,low,0
moderate,moderate,moderate,0
moderate,low,high,0
high,high,moderate,1
moderate,low,moderate,0
low,low,moderate,0
low,low,moderate,0
moderate,moderate,moderate,0
moderate,low,low,0
moderate,moderate,moderate,0
moderate,low,low,0
moderate,low,low,0
moderate,low,low,0
moderate,moderate,moderate,0
moderate,moderate,moderate,0
moderate,low,low,0
moderate,low,low,0
moderate,low,moderate,0
moderate,moderate,low,0
moderate,moderate,low,0
high,high,moderate,1
moderate,low,moderate,0
low,low,moderate,0
high,high,low,1
high,high,low,1
high,high,moderate,1
moderate,moderate,moderate,0
moderate,low,moderate,0
moderate,low,low,0
high,high,low,1
moderate,moderate,moderate,0
moderate,low,low,0
moderate,low,low,0
high,high,low,1
moderate,moderate,moderate,0
high,high,moderate,1
moderate,low,low,0
moderate,moderate,moderate,0
high,high,low,1
moderate,moderate,high,0
high,moderate,moderate,0
high,moderate,low,0
moderate,moderate,low,0
high,high,moderate,1
high,high,moderate,1
moderate,moderate,low,0
moderate,moderate,moderate,0
moderate,low,low,0
high,moderate,low,0
moderate,moderate,moderate,0
high,high,moderate,1
high,high,low,1
moderate,moderate,moderate,0
moderate,moderate,moderate,0
moderate,low,low,0
moderate,low,high,0
moderate,moderate,low,0
moderate,moderate,low,0
high,moderate,low,0
high,high,low,1
moderate,moderate,low,0
moderate,high,moderate,0
high,high,moderate,1
moderate,low,moderate,0
moderate,low,moderate,0
moderate,moderate,moderate,0
moderate,low,moderate,0
high,high,low,1
moderate,moderate,moderate,0
moderate,moderate,low,0
high,moderate,low,0
high,high,low,1
high,moderate,low,1
high,high,moderate,1
high,high,low,1
high,high,low,1
moderate,moderate,moderate,0
high,moderate,moderate,1
high,high,low,1
moderate,low,low,0
moderate,moderate,low,0
high,high,moderate,1
moderate,moderate,low,0
moderate,high,moderate,0
low,low,moderate,0
moderate,low,low,0
moderate,high,moderate,0
moderate,moderate,moderate,0
moderate,high,moderate,1
moderate,low,moderate,0
moderate,low,low,0
high,moderate,low,0
moderate,moderate,low,0
high,moderate,low,0
moderate,high,moderate,0
moderate,high,low,0
high,high,low,1
moderate,moderate,moderate,0
moderate,moderate,moderate,0
high,high,moderate,1
moderate,moderate,low,0
high,high,low,1
high,high,low,1
low,moderate,moderate,0
high,high,high,1
moderate,moderate,low,0
high,high,low,1
high,high,low,1
moderate,moderate,low,0
high,high,moderate,1
moderate,moderate,moderate,0
moderate,moderate,low,0
low,low,low,0
high,high,high,1
moderate,high,low,1
moderate,high,moderate,0
high,high,low,1
moderate,moderate,moderate,0
moderate,high,low,1
moderate,moderate,moderate,0
high,high,moderate,1
high,high,high,1
low,low,moderate,0
moderate,moderate,moderate,0
moderate,moderate,high,0
moderate,low,low,0
low,low,moderate,0
low,moderate,low,0
high,high,moderate,1
moderate,moderate,low,0
moderate,moderate,moderate,0
moderate,high,moderate,1
low,moderate,high,0
low,moderate,moderate,0
moderate,moderate,moderate,0
moderate,high,moderate,0
moderate,high,moderate,1
moderate,moderate,low,0
moderate,high,low,1
moderate,moderate,low,0
high,high,low,1
low,low,low,0
low,low,moderate,0
low,low,low,0
high,high,low,1
moderate,moderate,moderate,0
low,moderate,moderate,0
high,high,moderate,1
low,low,moderate,0
low,moderate,moderate,0
moderate,high,moderate,1
moderate,high,low,0
moderate,moderate,moderate,0
low,low,moderate,0
low,moderate,low,0
low,low,low,0
moderate,high,low,1
moderate,moderate,moderate,0
high,high,moderate,1
moderate,moderate,moderate,0
moderate,moderate,low,0
moderate,high,low,0
moderate,moderate,high,0
moderate,moderate,moderate,0
high,high,moderate,1
moderate,moderate,moderate,0
moderate,moderate,moderate,0
moderate,high,moderate,0
moderate,moderate,moderate,0
low,moderate,moderate,0
moderate,moderate,moderate,0
high,high,low,1
high,high,moderate,1
moderate,moderate,low,0
high,high,low,1
moderate,moderate,moderate,0
moderate,moderate,moderate,0
moderate,moderate,low,0
high,high,moderate,1
moderate,moderate,low,0
moderate,moderate,low,0
moderate,high,moderate,0
moderate,moderate,moderate,0
moderate,moderate,high,0
moderate,moderate,moderate,0
low,low,low,0
moderate,high,high,0
high,high,moderate,1
low,low,moderate,0
moderate,moderate,moderate,0
low,low,high,0
low,low,low,0
low,low,high,0
low,low,moderate,0
low,low,moderate,0
low,low,high,0
low,moderate,low,0
low,low,moderate,0
low,low,moderate,0
low,low,high,0
low,low,moderate,0
moderate,moderate,moderate,0
low,low,low,0
low,low,low,0
low,low,high,0
moderate,moderate,moderate,0
low,moderate,low,0
low,moderate,moderate,0
low,low,low,0
low,low,moderate,0
low,low,moderate,0
low,low,low,0
low,moderate,moderate,0
low,moderate,high,0
moderate,moderate,high,1
low,moderate,low,0
low,low,low,0
low,low,moderate,0
moderate,moderate,low,0
low,low,low,0
moderate,moderate,moderate,0
high,high,low,1
moderate,moderate,moderate,0
moderate,high,low,0
moderate,moderate,moderate,0
low,low,moderate,0
low,low,low,0
low,moderate,low,0
low,low,low,0
low,low,moderate,0
low,low,low,0
moderate,low,low,0
moderate,low,moderate,0
low,low,moderate,0
low,low,low,0
moderate,moderate,low,0
moderate,high,low,0
high,high,low,1
moderate,low,moderate,0
moderate,moderate,moderate,0
low,low,moderate,0
low,low,moderate,0
low,low,low,0
low,low,low,0
low,moderate,low,0
low,low,low,0
low,low,low,0
low,low,moderate,0
low,low,low,0
low,low,moderate,0
moderate,moderate,low,0
low,low,low,0
moderate,moderate,low,0
low,low,moderate,0
low,low,moderate,0
moderate,low,low,0
high,high,moderate,1
low,low,low,0
moderate,moderate,moderate,0
low,low,high,0
low,low,low,0
low,low,low,0
moderate,moderate,low,0
low,low,low,0
moderate,moderate,high,0
moderate,moderate,moderate,0
high,moderate,moderate,0
moderate,low,high,0
moderate,low,low,0
moderate,moderate,low,0
moderate,low,low,0
low,low,moderate,0
low,low,moderate,0
high,high,low,1
moderate,low,low,0
moderate,moderate,moderate,0
low,low,low,0
low,low,moderate,0
moderate,moderate,low,0
high,moderate,moderate,0
low,low,low,0
moderate,moderate,moderate,0
low,low,moderate,0
moderate,low,high,0
moderate,moderate,moderate,0
high,high,low,1
high,high,low,1
moderate,moderate,low,0
moderate,moderate,moderate,0
moderate,low,moderate,0
moderate,moderate,low,0
moderate,low,high,0
moderate,low,low,0
moderate,moderate,low,0
moderate,low,moderate,0
moderate,moderate,moderate,0
moderate,low,high,0
moderate,moderate,moderate,0
moderate,low,low,0
moderate,moderate,low,0
low,low,moderate,0
moderate,low,moderate,0
moderate,moderate,low,0
moderate,moderate,moderate,0
moderate,low,moderate,0
moderate,moderate,moderate,0
high,high,low,1
moderate,moderate,low,0
moderate,low,low,0
moderate,moderate,moderate,0
moderate,low,low,0
moderate,low,low,0
moderate,low,low,0
moderate,low,low,0
high,high,low,1
moderate,low,high,0
high,high,low,1
moderate,moderate,moderate,0
moderate,low,moderate,0
low,low,moderate,0
low,low,moderate,0
moderate,moderate,high,0
moderate,moderate,low,0
moderate,low,low,0
moderate,low,moderate,0
high,high,low,1
high,high,moderate,1
moderate,moderate,low,0
high,high,low,1
moderate,low,moderate,0
high,high,low,1
moderate,low,moderate,0
moderate,moderate,moderate,0
high,high,moderate,1
high,high,low,1
high,high,low,1
moderate,moderate,moderate,0
moderate,moderate,moderate,0
moderate,low,moderate,0
high,high,moderate,1
high,high,low,1
moderate,low,low,0
moderate,low,moderate,0
moderate,high,low,0
high,high,moderate,1
moderate,moderate,low,0
moderate,low,low,0
high,moderate,moderate,0
moderate,moderate,high,0
moderate,moderate,moderate,0
moderate,moderate,moderate,0
high,high,moderate,1
high,high,high,1
high,high,low,1
high,high,moderate,1
moderate,moderate,low,0
high,high,low,1
high,high,low,1
high,high,low,1
moderate,moderate,low,0
high,high,moderate,1
moderate,high,high,1
moderate,moderate,moderate,0
high,high,moderate,1
high,high,moderate,1
moderate,low,low,0
moderate,low,moderate,0
high,high,low,1
high,high,low,1
high,moderate,moderate,0
high,high,moderate,1
high,high,moderate,1
moderate,high,low,0
moderate,moderate,low,0
high,high,moderate,1
moderate,low,moderate,0
moderate,moderate,moderate,0
high,high,low,1
high,high,low,1
moderate,moderate,low,0
high,high,moderate,1
high,moderate,low,0
moderate,high,moderate,0
moderate,moderate,moderate,0
high,high,low,1
high,high,low,1
moderate,moderate,moderate,0
moderate,moderate,moderate,0
high,moderate,moderate,1
low,low,low,0
moderate,moderate,moderate,0
high,high,moderate,1
moderate,high,low,0
low,low,high,0
moderate,moderate,low,0
moderate,high,low,1
high,high,low,1
moderate,high,low,1
moderate,high,moderate,0
moderate,high,low,1
high,high,moderate,1
high,high,moderate,1
moderate,moderate,moderate,0
moderate,moderate,moderate,0
low,low,moderate,0
moderate,high,low,0
moderate,high,low,0
moderate,low,low,0
low,moderate,moderate,0
moderate,moderate,low,0
high,high,moderate,1
moderate,moderate,moderate,0
moderate,moderate,moderate,0
low,low,moderate,0
high,high,moderate,1
moderate,moderate,moderate,0
moderate,high,moderate,1
moderate,high,moderate,0
high,high,low,1
moderate,moderate,high,0
high,high,moderate,1
moderate,moderate,low,0
low,low,moderate,0
low,low,moderate,0
low,low,low,0
low,low,moderate,0
moderate,moderate,low,0
moderate,moderate,low,0
low,low,moderate,0
moderate,moderate,moderate,0
high,high,moderate,1
moderate,high,low,0
high,high,low,1
high,high,low,1
high,high,moderate,1
moderate,moderate,low,0
high,high,low,1
moderate,moderate,high,0
moderate,moderate,moderate,0
high,high,moderate,1
high,high,low,1
moderate,moderate,low,0
high,high,moderate,1
low,low,low,0
moderate,high,moderate,1
low,low,low,0
moderate,moderate,low,0
moderate,moderate,moderate,0
moderate,moderate,low,0
moderate,moderate,high,0
moderate,moderate,moderate,0
moderate,high,moderate,0
high,high,moderate,1
moderate,moderate,moderate,0
moderate,moderate,moderate,0
high,high,moderate,1
moderate,moderate,moderate,0
moderate,moderate,low,0
low,low,moderate,0
moderate,moderate,low,0
moderate,moderate,moderate,0
moderate,high,high,0
low,low,moderate,0
moderate,moderate,low,0
moderate,high,low,0
low,low,moderate,0
low,low,low,0
low,low,low,0
moderate,high,low,0
low,low,low,0
high,high,high,1
moderate,moderate,low,0
high,high,moderate,1
moderate,high,low,0
low,moderate,moderate,0
moderate,moderate,moderate,0
moderate,moderate,moderate,0
moderate,moderate,moderate,0
low,low,low,0
moderate,high,moderate,1
moderate,high,low,0
low,low,moderate,0
low,low,low,0
moderate,moderate,low,0
low,moderate,low,0
low,low,low,0
low,low,low,0
low,low,low,0
low,low,moderate,0
low,low,low,0
moderate,moderate,low,0
low,low,low,0
moderate,moderate,moderate,0
low,low,moderate,0
low,low,low,0
low,low,low,0
low,moderate,moderate,0
moderate,moderate,moderate,0
high,high,low,1
low,low,moderate,0
low,moderate,low,0
low,low,low,0
low,low,moderate,0
low,moderate,low,0
low,low,low,0
low,low,low,0
low,low,moderate,0
moderate,high,low,1
low,low,moderate,0
moderate,moderate,moderate,0
low,moderate,low,0
moderate,moderate,moderate,0
low,low,low,0
low,low,moderate,0
low,low,low,0
low,low,high,0
low,low,moderate,0
low,low,moderate,0
low,low,moderate,0
low,low,moderate,0
low,moderate,moderate,0
low,low,moderate,0
low,low,low,0
low,low,low,0
moderate,low,low,0
low,low,moderate,0
low,low,low,0
moderate,moderate,moderate,0
moderate,moderate,low,0
low,low,moderate,0
low,low,moderate,0
low,moderate,low,0
low,low,low,0
moderate,high,low,0
low,low,high,0
low,low,high,0
moderate,moderate,moderate,0
moderate,moderate,low,0
moderate,high,moderate,0
low,low,moderate,0
high,high,low,1
low,low,moderate,0
moderate,moderate,moderate,0
low,low,moderate,0
moderate,moderate,low,0
moderate,low,moderate,0
low,low,low,0
moderate,moderate,low,0
moderate,moderate,high,0
moderate,moderate,moderate,0
moderate,low,moderate,0
low,low,moderate,0
low,low,low,0
moderate,moderate,moderate,0
low,low,moderate,0
low,low,low,0
low,low,low,0
moderate,low,moderate,0
low,low,moderate,0
low,low,low,0
moderate,moderate,low,0
high,high,low,1
high,high,low,1
low,low,moderate,0
moderate,moderate,moderate,0
moderate,low,moderate,0
moderate,low,moderate,0
low,low,moderate,0
moderate,moderate,low,0
low,low,high,0
low,low,low,0
moderate,moderate,low,0
high,high,low,1
moderate,moderate,low,0
moderate,moderate,moderate,0
moderate,moderate,moderate,0
moderate,moderate,moderate,0
high,moderate,moderate,1
moderate,moderate,low,0
moderate,moderate,low,0
high,high,low,1
low,low,moderate,0
low,low,low,0
low,low,high,0
low,low,moderate,0
moderate,moderate,moderate,0
moderate,moderate,moderate,0
high,high,low,1
moderate,low,moderate,0
moderate,moderate,moderate,0
moderate,low,moderate,0
moderate,moderate,low,0
moderate,low,low,0
high,high,low,1
moderate,low,low,0
moderate,moderate,low,0
moderate,low,moderate,0
moderate,low,moderate,0
high,moderate,low,1
moderate,moderate,low,0
moderate,low,moderate,0
high,moderate,high,1
high,high,moderate,1
moderate,low,low,0
moderate,moderate,moderate,0
low,low,moderate,0
moderate,moderate,low,0
moderate,moderate,low,0
moderate,moderate,low,0
low,low,low,0
high,high,low,1
high,moderate,low,1
high,high,moderate,1
moderate,moderate,moderate,0
moderate,moderate,moderate,0
moderate,low,moderate,0
moderate,low,moderate,0
high,high,moderate,1
moderate,moderate,low,0
moderate,moderate,low,0
moderate,moderate,moderate,0
high,high,moderate,1
moderate,low,low,0
moderate,low,low,0
moderate,moderate,low,0
high,high,low,1
high,high,low,1
moderate,moderate,low,0
high,high,moderate,1
moderate,moderate,high,0
high,high,low,1
moderate,low,moderate,0
moderate,moderate,low,0
high,high,low,1
high,high,low,1
moderate,high,low,0
high,high,low,1
moderate,moderate,moderate,0
moderate,moderate,moderate,0
moderate,low,moderate,0
